event_type,product_id,category_code,brand,price,shipping_price,seller,ratings,title
view,item5235bc9aa1,smartphone,Unknown Brand,,0.0,"techmanic.ltd (9,959) 97.5%",4.5,Samsung Galaxy S6 - 32GB - Black Sapphire (Unlocked) Smartphone
view,item493f70fffe,smartphone,Unknown Brand,,0.0,"special_offers1 (34,040) 98.1%",3.5,Samsung Galaxy J6 2018 Black Unlocked Dual Sim 32GB 2GB RAM Android Smartphone
view,item24473ad897,smartphone,Unknown Brand,,0.0,topmoilephones (254) 90.4%,,Nokia 3310 Navy blue Unlocked 2G GSM 900/1800 Mobile Phone (with Snake II Game)
view,item21debeef9a,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Cricket Dream 5G (EC211001) 64GB (GSM Unlocked) (Cricket Wireless) Smartphone
view,item220997a3ab,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Vortex Cellular HD65 Ultra - 32GB - (CARRIER UNKNOWN) Budget Android Smartphone
view,item1f7ce5bdb2,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Motorola moto g 5G 2024 (XT2417D) 128GB - Green (Verizon) Prepaid - Clean IMEI
view,item1f6e59703e,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,X-Mobile X2 - 16GB - (GSM Unlocked) Dual SIM Android Budget Smartphone
view,item1b093ba70e,smartphone,Unknown Brand,,0.0,"genuineproductsuk (24,085) 100%",,Apple iPhone SE Mobile Phone 32GB Smartphone Space Grey Unlocked 100% Original
view,item491373311e,smartphone,Unknown Brand,,0.0,"londonmagicstore (1,716,881) 96.5%",4.5,Microsoft Lumia 650 4G Unlocked 16GB Windows 10 Smartphone - Good Condition
view,item1d860c61a5,smartphone,Unknown Brand,,0.0,"rebuyer_uk (4,885) 99.6%",5.0,Apple iPhone 7 A1778 (GSM) 32 GB Black UNLOCKED Smartphone
view,item36d26c019b,smartphone,Unknown Brand,,0.0,"msjuk18 (1,662) 100%",5.0,Fairphone 4 5G Android 6/128gb Smartphone Unlocked Grey
view,item4bfaeb9e07,smartphone,Unknown Brand,,0.0,pdaplaza (928) 100%,,"Cosmo Communicator DUAL SIM, 6Gb/128GB, (Wi-Fi, 4G / LTE) US-QWERTY"
view,item406926ef91,smartphone,Unknown Brand,,0.0,mobile_joblots (638) 99.6%,4.5,Google Pixel 6 - 128GB - Stormy Black (Unlocked) - Poor Condition
view,item1f76e6d8b2,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Vortex Cellular HD68 - 64GB - Purple (CARRIER UNKNOWN) Dual SIM Smartphone
view,item290b9a371d,smartphone,Unknown Brand,,0.0,"amcelltech (63,086) 99.1%",,"Lot of 30 pcs Assorted Cell Phones For Parts, Scrap or Gold Recovery"
view,item52e104167d,smartphone,Unknown Brand,,0.0,"techwin_us (2,204) 98.4%",,LG Q92 5G Q920N Original Unlocked 6GB RAM 128GB ROM 48MP Android Smartphone
view,item5a39b63b33,smartphone,Unknown Brand,,0.0,kanau_japan (105) 100%,,Panasonic Docomo P-01E Japanese Flip Phone Keitai Garakei Used Working Japan
view,item244619e9b1,smartphone,Unknown Brand,,0.0,"special_offers1 (34,040) 98.1%",,"Samsung Galaxy S5 Mini Black Unlocked 16GB 1.5GB RAM 4.5"" Android Smartphone"
view,item24783b818f,smartphone,Unknown Brand,,0.0,used-phone-working-perfectly (417) 94.4%,,"Fully Working Google Pixel Unlocked Android , 4+32GB 4G LTE Smartphone Tested"
view,item576f5ac1c1,smartphone,Unknown Brand,,0.0,nakanoyama-jpshop (391) 99.2%,,KYOCERA 701KC DIGNO KEITAI 2 Android Flip Phone Blue SIM Free Unlocked Japan
view,item3bb29a2799,smartphone,Unknown Brand,,0.0,"blackberry_archive (3,995) 98.6%",,BOXED RIM Blackberry 5820 AKA R900 QWERTY Mobile phone smartphone RARE 5810 5790
view,item34b7c9e567,smartphone,Unknown Brand,,0.0,"tradersplusltd (16,230) 99%",,New Samsung Galaxy A06 Smartphone 64GB Unlocked 4G Dual Sim All Colour
view,item23f8ca9c33,smartphone,Unknown Brand,,0.0,"special_offers1 (34,040) 98.1%",4.5,Blackberry Classic Q20 Black Unlocked 16GB 2GB RAM Qwerty Mobile Smartphone
view,item5a3c02e52a,smartphone,Unknown Brand,,0.0,"connectedmobiles (19,033) 98.9%",4.5,Samsung Galaxy Y Young GT-S5360 - Black Pink (Unlocked) Smartphone Mobile
view,item5a1a8401e2,smartphone,Unknown Brand,,0.0,xmb-mobile (480) 93.6%,4.5,FULLY WORKING Apple iPhone 6 6 plus - 16/32/64GB Unlocked 4G smartphone
view,item23f7b81cfb,smartphone,Unknown Brand,,0.0,"special_offers1 (34,040) 98.1%",4.0,"Nokia Lumia 635 Black Unlocked 8GB 512MB RAM 4.5"" Microsoft Windows Smartphone"
view,item24749cab17,smartphone,Unknown Brand,,0.0,used-phone-working-perfectly (417) 94.4%,,Apple iPhone 5 5S 5C 8GB 16GB 32GB 64GB all colors Unlocked Fully Working
view,item5a22397b27,smartphone,Unknown Brand,,0.0,xmb-mobile (480) 93.6%,,Huawei Mate10 Google 64GB / 128GB Android Dual SIM Smartphone Unlocked tested
view,item26f0ea5ca4,smartphone,Unknown Brand,,0.0,"humptydp (8,468) 100%",4.5,Sony Xperia 1 V 256GB Black 12GB RAM OLED PRISTINE SCREEN Sony Warranty!
view,item26e01697e0,smartphone,Unknown Brand,,0.0,ad360_uk (295) 100%,,"OPPO Reno12 Pro 5G 512GB 6.7"" Curved FHD+ OLED Smartphone Black"
view,item246dd8a803,smartphone,Unknown Brand,,0.0,used-phone-working-perfectly (417) 94.4%,,ZTE nubia Red Magic Mars 8+ 128GB Unlocked 4G gaming phone
view,item5775ec4182,smartphone,Unknown Brand,,0.0,nakanoyama-jpshop (391) 99.2%,,SHARP AQUOS SH-01J DOCOMO ANDROID Flip Phone Keitai UNLOCKED variation Gold
view,item4be6efe323,smartphone,Unknown Brand,,0.0,"with_us (20,594) 98.3%",,ALT MIVE Style Folder 32GB AT-M120 Unlocked LTE/3G - Black/White
view,item1f764a4d64,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Vortex Cellular HD55 - 16GB - White (CARRIER UNKNOWN) 4G LTE Smartphone
view,item21f712e99f,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,AT&T Radiant Max 5G (EA211001) 64GB - Blue (AT&T) Smartphone - Clean IMEI
view,,smartphone,Unknown Brand,,0.0,Unknown Seller,,
view,,smartphone,Unknown Brand,,0.0,Unknown Seller,,
view,item1f86028f72,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Huawei Honor 6 Plus (PE-TL00M) 32GB - White (CARRIER UNKNOWN) Smartphone - J6265
view,item5a4be733d7,smartphone,Unknown Brand,,0.0,glo_sales (807) 98.6%,5.0,"AT&T Fusion 5G, 64GB Silver / Gray (AT&T ONLY) [EA211005] Good Condition"
view,item1f859c9cbc,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Vortex HD65 Select- 32GB - Black (CARRIER UNKNOWN) 4G LTE Android Smartphone
view,item427ebb7d04,smartphone,Unknown Brand,,0.0,"umidigi-us-88 (1,502) 94%",,"UMIDIGI Power 7 Smartphone 128GB 6.7"" Android Unlocked Dual SIM Cell Phone Good"
view,item54cf3d9c75,smartphone,Unknown Brand,,0.0,"londonmagicstore (1,716,881) 96.5%",4.5,HTC Desire Z Grey Slide QWERTZ Keyboard Touch Mobile Phone - Very Good Condition
view,item42a2692d14,smartphone,Unknown Brand,,0.0,"putaliuktrade (1,646) 96.9%",5.0,Samsung Galaxy S4 Mini GT-I9195 Unlocked Smartphone
view,item2474417352,smartphone,Unknown Brand,,0.0,used-phone-working-perfectly (417) 94.4%,,"(Unlocked) Samsung Galaxy Mega 2 SM-G7508Q 8GB Android 6.0"" Cellphone Works good"
view,item5a3bfc8dd4,smartphone,Unknown Brand,,0.0,"connectedmobiles (19,033) 98.9%",5.0,ALCATEL ONETOUCH Pixi 3 (3.5) - Black (Unlocked) Smartphone Mobile 4009x
view,item34b7c9e567,smartphone,Unknown Brand,,0.0,"tradersplusltd (16,230) 99%",,New Samsung Galaxy A06 Smartphone 64GB Unlocked 4G Dual Sim All Colour
view,item4062108dc6,smartphone,Unknown Brand,,0.0,"tech-hobbies (5,651) 99.6%",4.5,Google Pixel 6 | 6a | 6 Pro - 128GB 256GB 512GB - Unlocked Verizon T-Mobile AT&T
view,item34b364bb3e,smartphone,Unknown Brand,,0.0,"cell-traders (12,979) 98.7%",5.0,Google Pixel 8 Pro 128GB Factory Unlocked - Excellent
view,item2b3c7fcb05,smartphone,Unknown Brand,,0.0,"cellularstream (156,789) 96.4%",4.5,Samsung Galaxy S21 5G SM-G991U 128GB 256GB Unlocked Very Good Refurbished
view,item1f7ce5bdb2,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Motorola moto g 5G 2024 (XT2417D) 128GB - Green (Verizon) Prepaid - Clean IMEI
view,item1f7c591dc8,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Vortex Cellular NS65 - 32GB - (CARRIER UNKNOWN) Dual SIM Android Smartphone
view,item1f8857adaf,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,VORTEX PG65 - 64GB - Black (CARRIER UNKNOWN) Dual SIM Smartphone - J6595
view,item1f790261cc,smartphone,Unknown Brand,,0.0,"aasieltd (45,292) 98.2%",,Vortex Cellular ZG65 Pro - 32GB - (CARRIER UNKNOWN) 4G LTE Dual SIM Smartphone
view,item4be6efe323,smartphone,Unknown Brand,,0.0,"with_us (20,594) 98.3%",,ALT MIVE Style Folder 32GB AT-M120 Unlocked LTE/3G - Black/White
view,item36dd952e54,smartphone,Unknown Brand,,0.0,"nextdaymobiles (24,164) 99.4%",,Google Pixel 7 Pro 128GB 256GB 5G Unlocked Various Colours Smartphone | Good
view,item5be9252952,smartphone,Unknown Brand,,0.0,"qiutianguo (5,712) 96.3%",,"New Mini Mobile Phone X8 0.66"" 2G GSM Telefone Dual SIM Wireless Bluetooth"
view,item2187be0142,smartphone,Unknown Brand,,0.0,"jushman_2 (18,002) 97.3%",4.0,New NOKIA 1100 BLUE UNLOCKED MOBILE PHONE - UK 12 Months WARRANTY
view,item4bfaeb9e07,smartphone,Unknown Brand,,0.0,pdaplaza (928) 100%,,"Cosmo Communicator DUAL SIM, 6Gb/128GB, (Wi-Fi, 4G / LTE) US-QWERTY"
view,item26e1ffb797,smartphone,Unknown Brand,,0.0,ad360_uk (295) 100%,4.5,"OPPO Reno12 F 5G 256GB 6.7"" Black Green OPPO ENCO Free 2 Bundle"
view,item26e01697e0,smartphone,Unknown Brand,,0.0,ad360_uk (295) 100%,,"OPPO Reno12 Pro 5G 512GB 6.7"" Curved FHD+ OLED Smartphone Black"
view,item2b57cb9ec7,smartphone,Unknown Brand,,0.0,"alpine.offline (1,052) 97.1%",4.5,New Condition Nokia N95-Silver in Purple(Unlocked)Smartphone +12 Months warranty
view,item52f2390edf,smartphone,Unknown Brand,,0.0,"techwin_us (2,204) 98.4%",,F6 Pro 5G 7 Inch HD Screen 512GB+16GB Android 14 7000mah Battery Dual Sim Phone
view,item1d702647e3,smartphone,Unknown Brand,,0.0,cuisiting-005 (173) 94.9%,,Working well Apple iPhone 5 5c 5s 8/16/32/64GB All colours Fully UNLOCKED Good!!
